Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80504031107,SRINIVAS NAGAR (WEST ),80504031107,08-Jan-21,08-Jan-21
80504032108,MINAKSHIPURAM,80504032108,08-Jan-21,08-Jan-21
80504032109,YADAGIRINAGAR,80504032109,08-Jan-21,08-Jan-21
80504032110,BHAVANI NAGAR,80504032110,08-Jan-21,08-Jan-21
80504032111,SANTHOSHIGIRI,80504032111,08-Jan-21,08-Jan-21
80504032112,GTS COLONY,80504032112,08-Jan-21,08-Jan-21
80504033113,KARMIKANAGAR,80504033113,08-Jan-21,08-Jan-21
80504033114,SRIRAM NAGAR,80504033114,08-Jan-21,08-Jan-21
80504033115,OMNAGAR,80504033115,08-Jan-21,08-Jan-21
80504033116,B.S.NAGAR,80504033116,08-Jan-21,08-Jan-21
80504034117,INDIRANAGAR,80504034117,08-Jan-21,08-Jan-21
80504034118,KAMALANAGAR,80504034118,08-Jan-21,08-Jan-21
80504034119,H.F.NAGAR,80504034119,08-Jan-21,08-Jan-21
80504034120,PEDDAMMA NAGAR,80504034120,08-Jan-21,08-Jan-21
80504035121,SITE-5,80504035121,08-Jan-21,08-Jan-21
80504035122,BRAMHANVADI,80504035122,08-Jan-21,08-Jan-21
80504035123,SUNIL NAGAR,80504035123,08-Jan-21,08-Jan-21
80504035124,AMBEDKAR NAGAR,80504035124,08-Jan-21,08-Jan-21
80504036125,SITE-1,80504036125,08-Jan-21,08-Jan-21
80504036126,VINAYAK RAO NAGAR,80504036126,08-Jan-21,08-Jan-21
80504036127,RAMARAO NAGAR,80504036127,08-Jan-21,08-Jan-21
80504036128,RAJIV NAGAR,80504036128,08-Jan-21,08-Jan-21
80504036129,ALLAPUR,80504036129,08-Jan-21,08-Jan-21
80504037130,MOTHINAGAR,80504037130,08-Jan-21,08-Jan-21
80504037131,SNEHAPURI COLONY,80504037131,08-Jan-21,08-Jan-21
80504037132,BABBU GUDA,80504037132,08-Jan-21,08-Jan-21
80504037133,AVANTI NAGAR,80504037133,08-Jan-21,08-Jan-21
80504037134,SARATHI CO-OP SOCITY,80504037134,08-Jan-21,08-Jan-21
80504038135,VIVEKANADANAGAR,80504038135,08-Jan-21,08-Jan-21
80504038136,LAXMINAGAR,80504038136,08-Jan-21,08-Jan-21
80504038137,TULASI NAGAR,80504038137,08-Jan-21,08-Jan-21
80504038138, GAYATRI NAGAR,80504038138,08-Jan-21,08-Jan-21
80504038139,PARVATH NAGAR,80504038139,08-Jan-21,08-Jan-21
80504039140,AG COLONY,80504039140,08-Jan-21,08-Jan-21
80504039141,NATARAJ NAGAR,80504039141,08-Jan-21,08-Jan-21
